# Shockley-Queisser Efficiency vs Bandgap
# Bandgap (eV)	Efficiency (%)
0.310737	5.5795
0.318667	5.92336
0.326596	6.26949
0.334525	6.61583
0.342454	6.96154
0.350383	7.32869
0.358312	7.66649
0.366241	8.0285
0.374171	8.42488
0.3821	8.81702
0.390029	9.2022
0.397958	9.56428
0.405887	9.98957
0.413816	10.3622
0.421746	10.7887
0.429675	11.1643
0.437604	11.6005
0.445533	12.0147
0.453462	12.4465
0.461391	12.8511
0.469321	13.2716
0.47725	13.7088
0.485179	14.1122
0.493108	14.5832
0.501037	15.0049
0.508966	15.3546
0.516896	15.7506
0.524825	16.0985
0.532754	16.4389
0.540683	16.7756
0.548612	17.1119
0.556541	17.398
0.56447	17.688
0.5724	17.9817
0.580329	18.2735
0.588258	18.5686
0.596187	18.878
0.604116	19.1744
0.612045	19.4486
0.619975	19.8659
0.627904	20.1748
0.635833	20.5694
0.643762	20.9138
0.651691	21.3602
0.65962	21.8198
0.66755	22.1973
0.675479	22.5835
0.683408	23.0763
0.691337	23.4417
0.699266	23.7371
0.707195	23.9824
0.715125	24.2178
0.723054	24.4354
0.730983	24.5792
0.738912	24.7697
0.746841	24.9362
0.75477	25.1104
0.762699	25.2678
0.770629	25.4259
0.778558	25.5733
0.786487	25.7212
0.794416	25.8634
0.802345	25.9854
0.810274	26.1089
0.818204	26.2431
0.826133	26.4103
0.834062	26.6232
0.841991	26.9068
0.84992	27.2111
0.857849	27.5078
0.865779	27.8445
0.873708	28.1936
0.881637	28.5671
0.889566	28.9529
0.897495	29.3169
0.905424	29.6871
0.913354	30.0647
0.921283	30.435
0.929212	30.6743
0.937141	30.8735
0.94507	31.0337
0.952999	31.1481
0.960929	31.2218
0.968858	31.2933
0.976787	31.3683
0.984716	31.4548
0.992645	31.5047
1.00057	31.5479
1.0085	31.5882
1.01643	31.6381
1.02436	31.6903
1.03229	31.7534
1.04022	31.8171
1.04815	31.8897
1.05608	31.9492
1.06401	32.0255
1.07194	32.1491
1.07987	32.3337
1.0878	32.5625
1.09572	32.7822
1.10365	33.0341
1.11158	33.2726
1.11951	33.3892
1.12744	33.4514
1.13537	33.4806
1.1433	33.4883
1.15123	33.4852
1.15916	33.478
1.16709	33.4656
1.17502	33.4468
1.18294	33.4194
1.19087	33.3883
1.1988	33.3514
1.20673	33.3095
1.21466	33.2636
1.22259	33.2209
1.23052	33.1638
1.23845	33.1157
1.24638	33.0476
1.25431	32.9899
1.26224	32.9446
1.27017	32.9327
1.27809	32.9261
1.28602	32.9487
1.29395	33.0262
1.30188	33.1484
1.30981	33.2774
1.31774	33.4059
1.32567	33.5458
1.3336	33.687
1.34153	33.6721
1.34946	33.6359
1.35739	33.6379
1.36532	33.6329
1.37324	33.5953
1.38117	33.5949
1.3891	33.5346
1.39703	33.436
1.40496	33.3358
1.41289	33.2319
1.42082	33.1233
1.42875	33.012
1.43668	32.9033
1.44461	32.804
1.45254	32.6977
1.46047	32.5839
1.46839	32.4794
1.47632	32.3488
1.48425	32.2472
1.49218	32.1432
1.50011	32.0633
1.50804	31.996
1.51597	31.905
1.5239	31.8352
1.53183	31.7195
1.53976	31.5917
1.54769	31.4651
1.55562	31.3332
1.56354	31.1681
1.57147	31.0302
1.5794	30.9174
1.58733	30.763
1.59526	30.6052
1.60319	30.4442
1.61112	30.2863
1.61905	30.1933
1.62698	30.2203
1.63491	30.2238
1.64284	30.0467
1.65077	29.9128
1.65869	29.732
1.66662	29.547
1.67455	29.4145
1.68248	29.2412
1.69041	29.1084
1.69834	28.996
1.70627	28.864
1.7142	28.7647
1.72213	28.6263
1.73006	28.5245
1.73799	28.3755
1.74592	28.2194
1.75384	28.01
1.76177	27.8526
1.7697	27.7034
1.77763	27.5449
1.78556	27.3928
1.79349	27.2455
1.80142	27.1202
1.80935	26.9887
1.81728	26.8109
1.82521	26.629
1.83314	26.4445
1.84107	26.2588
1.84899	26.0711
1.85692	25.8797
1.86485	25.6898
1.87278	25.5672
1.88071	25.3812
1.88864	25.2153
1.89657	25.036
1.9045	24.9074
1.91243	24.7221
1.92036	24.5267
1.92829	24.3233
1.93622	24.1894
1.94414	23.9817
1.95207	23.847
1.96	23.6455
1.96793	23.5155
1.97586	23.3197
1.98379	23.1199
1.99172	22.9849
1.99965	22.842
2.00758	22.6285
2.01551	22.4896
2.02344	22.2765
2.03137	22.1312
2.03929	21.9094
2.04722	21.76
2.05515	21.6103
2.06308	21.392
2.07101	21.2443
2.07894	21.0949
2.08687	20.9496
2.0948	20.73
2.10273	20.5949
2.11066	20.4472
2.11859	20.2889
2.12652	20.1253
2.13444	19.8838
2.14237	19.7291
2.1503	19.5733
2.15823	19.4167
2.16616	19.2544
2.17409	19.1
2.18202	18.9409
2.18995	18.779
2.19788	18.6176
2.20581	18.4521
2.21374	18.2859
2.22166	18.1263
2.22959	17.9593
2.23752	17.7856
2.24545	17.6129
2.25338	17.4391
2.26131	17.2665
2.26924	17.0941
2.27717	16.9183
2.2851	16.7425
2.29303	16.578
2.30096	16.403
2.30889	16.2246
2.31681	16.132
2.32474	15.9586
2.33267	15.7758
2.3406	15.5894
2.34853	15.4147
2.35646	15.3326
2.36439	15.1467
2.37232	14.9667
2.38025	14.7841
2.38818	14.6991
2.39611	14.5409
2.40404	14.368
2.41196	14.278
2.41989	14.093
2.42782	13.9002
2.43575	13.8044
2.44368	13.6161
2.45161	13.4191
2.45954	13.327
2.46747	13.1407
2.4754	12.9557
2.48333	12.8598
2.49126	12.665
2.49919	12.5657
2.50711	12.3625
2.51504	12.1666
2.52297	12.0709
2.5309	11.8721
2.53883	11.778
2.54676	11.6024
2.55469	11.5139
2.56262	11.31
2.57055	11.2049
2.57848	10.9931
2.58641	10.8881
2.59434	10.6779
2.60226	10.5753
2.61019	10.4706
2.61812	10.2628
2.62605	10.1581
2.63398	9.95361
2.64191	9.85173
2.64984	9.64567
2.65777	9.54352
2.6657	9.43956
2.67363	9.22913
2.68156	9.12034
2.68949	8.90648
2.69741	8.80238
2.70534	8.6971
2.71327	8.48118
2.7212	8.37507
2.72913	8.27031
